INCHIKEY,SMILES
YGCFIWIQZPHFLU-UHFFFAOYSA-N,CC1=CC(NS(O1)(=O)=O)=O
UDIAPBFEZFMUCP-UHFFFAOYSA-N,COC1=CC=CC(OC)=C1OS(=O)(O)=O
LJOOSFYJELZGMR-UHFFFAOYSA-N,O=C1C=CC2=CC=C(OS(=O)(O)=O)C=C2O1
VFMNSFWBDMRNLJ-UHFFFAOYSA-N,OC(CC1C(CCC)C1)=O
SNVAIAITQIIEMQ-DUXPYHPUSA-N,OS(OC1=CC=C(C=C1O)/C=C/C(O)=O)(=O)=O
BDCRTIDKZGEVEN-UHFFFAOYSA-N,O=C1C2=C(O)C=C(OC3C(O)C(O)C(O)C(C(O)=O)O3)C=C2OC(C4=CC=C(O)C=C4)C1
WYUFTYLVLQZQNH-UHFFFAOYSA-N,CCOC1C(O)C(O)C(O)C(CO)O1
DJMIFDZBCUUQJN-NTSWFWBYSA-N,O[C@@H]1[C@H](C([O-])=O)[N+](C)(C)CC1
OLNJUISKUQQNIM-UHFFFAOYSA-N,O=CC1=CNC2=CC=CC=C12
UMCDODPBPQMWQP-UHFFFAOYSA-N,COC1=C(OS(=O)(O)=O)C=CC(CCC(O)=O)=C1
DWLVFWDCSFTDOD-UHFFFAOYSA-N,OC(C(C1=CNC2=C1C=CC=C2)=O)=O
WYUFTYLVLQZQNH-JAJWTYFOSA-N,O[C@H]([C@H]1O)[C@@H]([C@@H](CO)O[C@H]1OCC)O
CGSFDOCYHBJLFW-WMLDXEAASA-N,O=C([C@@]1(CC2=CC(OS(=O)(O)=O)=CC=C2)[H])OC[C@@]1(CC3=CC(O)=CC=C3)[H]
STZOUWQDQRPMBI-ZETCQYMHSA-N,O=C(NCC)CC[C@@H](C(O)=O)NC(C)=O
CLCCTVXAPVYLKM-UHFFFAOYSA-N,CC1=CC=C(C)C(OS(=O)(O)=O)=C1
WEPNMLSXEATIJK-UHFFFAOYSA-N,OC1=CC(CCC(O)=O)=CC=C1OS(O)(=O)=O
NUPWKYZXNXCOHY-UHFFFAOYSA-N,CCC1=C(OS(=O)(O)=O)C(O)=CC=C1
NUPWKYZXNXCOHY-UHFFFAOYSA-N,CCC1=C(OS(=O)(O)=O)C(O)=CC=C1
PKECGHXYZFBIDX-UHFFFAOYSA-N,OCC1=CC=C(C(OC(CC([O-])=O)C[N+](C)(C)C)=O)O1
BOWUOGIPSRVRSJ-RXMQYKEDSA-N,O=C1NCCCC[C@H]1N
LOODYTDRRBLQNH-UHFFFAOYSA-N,OC1=CC=C(C=C1OC)C(NCC(O)=O)=O
CLJGMBYGTHRUNF-PJQJKGEDSA-N,C[C@@H]1CC[C@@H](C(C)C)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O2)C1
UIKROCXWUNQSPJ-VIFPVBQESA-N,O=C1CC[C@@H]([C@]2=CN=CC=C2)N1C
XOKCJXZZNAUIQN-IENPIDJESA-N,O=C1N(C)[C@H]([C@]2=CN=CC=C2)CC1O
ZAEQSKSORYMOAE-UHFFFAOYSA-N,O=S(OC1=CC=C2C(CC3=C2C=CC=C3)=C1)(O)=O
RYYVLZVUVIJVGH-UHFFFAOYSA-N,O=C(N(C)C1=C2N(C)C=N1)N(C)C2=O
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,O=C(N1C)C(N=CN2)=C2N(C)C1=O
YAPQBXQYLJRXSA-UHFFFAOYSA-N,CN1C=NC(N(C(N2)=O)C)=C1C2=O
QUNWUDVFRNGTCO-UHFFFAOYSA-N,O=C(N2C)NC1=C(N(C)C=N1)C2=O
OTSBKHHWSQYEHK-UHFFFAOYSA-N,CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O
GMSNIKWWOQHZGF-UHFFFAOYSA-N,O=C1N(C)C2=C(N=CN2)C(N1)=O
PFWLFWPASULGAN-UHFFFAOYSA-N,OC1=C(N2C)C(N=C2)=NC(O)=N1
BYXCFUMGEBZDDI-UHFFFAOYSA-N,CN(C(N1C)=O)C(NC2=O)=C(N2C)C1=O
HMLZLHKHNBLLJD-UHFFFAOYSA-N,CN1C(NC(C(N2C)=C1NC2=O)=O)=O
NOFNCLGCUJJPKU-UHFFFAOYSA-N,CN1C(NC(N2)=C(C1=O)N(C)C2=O)=O
QFDRTQONISXGJA-UHFFFAOYSA-N,CN1C(NC(N2)=C(C1=O)NC2=O)=O
RDZNZFGKEVDNPK-UHFFFAOYSA-N,O=C(NC(NC=O)=C1NC(C)=O)N(C)C1=O
POQOTWQIYYNXAT-UHFFFAOYSA-N,O=C(NC(N)=C1NC(C)=O)N(C)C1=O
MVOYJPOZRLFTCP-UHFFFAOYSA-N,O=C(N1C)NC2=C(NC=N2)C1=O
